recept_id,recipe_name,author,good,recipe_url,browsing_num,people,cooking_time,recept_type,ingredients,quantity,unit,recipe_source,recipe_upload_date,crawl_datetime
484086,香橙焗烤蛋,鄭恬,2,https://icook.tw/recipes/484086,57瀏覽,"2
人份","時間

20
分鐘",main ingredients,香橙,2顆,,icook,2025-11-27,2025-11-28 01:10:37.960790
484086,香橙焗烤蛋,鄭恬,2,https://icook.tw/recipes/484086,57瀏覽,"2
人份","時間

20
分鐘",main ingredients,雞蛋,2顆,,icook,2025-11-27,2025-11-28 01:10:37.960790
484086,香橙焗烤蛋,鄭恬,2,https://icook.tw/recipes/484086,57瀏覽,"2
人份","時間

20
分鐘",main ingredients,蟹味棒,3條,,icook,2025-11-27,2025-11-28 01:10:37.960790
484086,香橙焗烤蛋,鄭恬,2,https://icook.tw/recipes/484086,57瀏覽,"2
人份","時間

20
分鐘",main ingredients,起司絲,15克,,icook,2025-11-27,2025-11-28 01:10:37.960790
484086,香橙焗烤蛋,鄭恬,2,https://icook.tw/recipes/484086,57瀏覽,"2
人份","時間

20
分鐘",main ingredients,海鹽,1克,,icook,2025-11-27,2025-11-28 01:10:37.960790
484086,香橙焗烤蛋,鄭恬,2,https://icook.tw/recipes/484086,57瀏覽,"2
人份","時間

20
分鐘",main ingredients,黑胡椒粒,少許,,icook,2025-11-27,2025-11-28 01:10:37.960790
484734,十分鐘上菜-香芹炒豆乾,ching,,https://icook.tw/recipes/484734,54瀏覽,"5
人份","時間

10
分鐘",main ingredients,豆乾,8塊,,icook,2025-11-27,2025-11-28 01:10:40.845197
484734,十分鐘上菜-香芹炒豆乾,ching,,https://icook.tw/recipes/484734,54瀏覽,"5
人份","時間

10
分鐘",main ingredients,芹菜,1把,,icook,2025-11-27,2025-11-28 01:10:40.845197
484734,十分鐘上菜-香芹炒豆乾,ching,,https://icook.tw/recipes/484734,54瀏覽,"5
人份","時間

10
分鐘",main ingredients,十全120天完熟烏醋,1小匙,,icook,2025-11-27,2025-11-28 01:10:40.845197
484734,十分鐘上菜-香芹炒豆乾,ching,,https://icook.tw/recipes/484734,54瀏覽,"5
人份","時間

10
分鐘",main ingredients,蒜頭,5瓣,,icook,2025-11-27,2025-11-28 01:10:40.845197
484734,十分鐘上菜-香芹炒豆乾,ching,,https://icook.tw/recipes/484734,54瀏覽,"5
人份","時間

10
分鐘",main ingredients,紅辣椒,1根,,icook,2025-11-27,2025-11-28 01:10:40.845197
484734,十分鐘上菜-香芹炒豆乾,ching,,https://icook.tw/recipes/484734,54瀏覽,"5
人份","時間

10
分鐘",main ingredients,鹽巴,1小匙,,icook,2025-11-27,2025-11-28 01:10:40.845197
484734,十分鐘上菜-香芹炒豆乾,ching,,https://icook.tw/recipes/484734,54瀏覽,"5
人份","時間

10
分鐘",main ingredients,食用油,1匙,,icook,2025-11-27,2025-11-28 01:10:40.845197
