ori_ingredient_id,ori_ingredient_name,unit_name,weight_grams,ins_time,upd_time,u2g_status
1,洋蔥,g,90.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,個,185.16666666666666,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,克,78.63636363636364,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,兩,54.6875,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,公克,124.6774193548387,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,公公克,200.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,公斤,1100.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,半個,0.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,半顆,0.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,圈,15.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,塊,480.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,大匙,24.375,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,大顆,300.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,小顆,70.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,少許,0.5,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,杯,45.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,湯匙,24.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,片,144.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,粒,126.25,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,約50公克,0.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,茶匙,1.25,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,適量,1.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,顆,178.01470588235293,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,題,100.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
1,洋蔥,？公克,0.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
3,醬油,C.C,386.4,2025-12-01 04:52:11,2025-12-01 04:52:11,done
3,醬油,CC,210.19230769230768,2025-12-01 04:52:11,2025-12-01 04:52:11,done
3,醬油,c.c,14.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
3,醬油,c.c.,250.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
3,醬油,cc,111.70270270270271,2025-12-01 04:52:11,2025-12-01 04:52:11,done
3,醬油,g,74.25,2025-12-01 04:52:11,2025-12-01 04:52:11,done
3,醬油,t,5.0,2025-12-01 04:52:11,2025-12-01 04:52:11,done
3,醬油,~4大匙,49.5,2025-12-01 04:52:11,2025-12-01 04:52:11,done
