recept_id,recipe_name,author,good,recipe_url,browsing_num,people,cooking_time,recept_type,ingredients,quantity,unit,recipe_source,recipe_upload_date,crawl_datetime
476372,黃豆芽醬炒紅蘿蔔及煙燻豆皮,Vivivya,,https://icook.tw/recipes/476372,115瀏覽,"4
人份","時間

20
分鐘",main ingredients,黃豆芽,1包,,icook,2025-11-22,2025-11-23 14:58:36.188371
476372,黃豆芽醬炒紅蘿蔔及煙燻豆皮,Vivivya,,https://icook.tw/recipes/476372,115瀏覽,"4
人份","時間

20
分鐘",main ingredients,紅蘿蔔絲,1跟,,icook,2025-11-22,2025-11-23 14:58:36.188371
476372,黃豆芽醬炒紅蘿蔔及煙燻豆皮,Vivivya,,https://icook.tw/recipes/476372,115瀏覽,"4
人份","時間

20
分鐘",main ingredients,煙燻豆包,2片,,icook,2025-11-22,2025-11-23 14:58:36.188371
476372,黃豆芽醬炒紅蘿蔔及煙燻豆皮,Vivivya,,https://icook.tw/recipes/476372,115瀏覽,"4
人份","時間

20
分鐘",sauce,烤肉醬,1小匙,,icook,2025-11-22,2025-11-23 14:58:36.188371
476372,黃豆芽醬炒紅蘿蔔及煙燻豆皮,Vivivya,,https://icook.tw/recipes/476372,115瀏覽,"4
人份","時間

20
分鐘",sauce,雞粉,1茶匙,,icook,2025-11-22,2025-11-23 14:58:36.188371
476372,黃豆芽醬炒紅蘿蔔及煙燻豆皮,Vivivya,,https://icook.tw/recipes/476372,115瀏覽,"4
人份","時間

20
分鐘",sauce,鹽,2茶匙,,icook,2025-11-22,2025-11-23 14:58:36.188371
484064,免揉歐式麵包,木子太太,7,https://icook.tw/recipes/484064,219瀏覽,"4
人份","時間

180
分鐘",main ingredients,高筋麵粉,240g,,icook,2025-11-22,2025-11-23 14:58:36.490161
484064,免揉歐式麵包,木子太太,7,https://icook.tw/recipes/484064,219瀏覽,"4
人份","時間

180
分鐘",main ingredients,鹽,8g,,icook,2025-11-22,2025-11-23 14:58:36.490161
484064,免揉歐式麵包,木子太太,7,https://icook.tw/recipes/484064,219瀏覽,"4
人份","時間

180
分鐘",main ingredients,糖,10g,,icook,2025-11-22,2025-11-23 14:58:36.490161
484064,免揉歐式麵包,木子太太,7,https://icook.tw/recipes/484064,219瀏覽,"4
人份","時間

180
分鐘",main ingredients,速發乾酵母,3g,,icook,2025-11-22,2025-11-23 14:58:36.490161
