recept_id,recipe_name,author,good,recipe_url,browsing_num,people,cooking_time,recept_type,ingredients,quantity,unit,recipe_upload_date,crawl_datetime
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",main ingredients,紅蘿蔔切絲,8片,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",main ingredients,黑木耳絲,6奪,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",main ingredients,杏鮑菇,2條,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",main ingredients,板豆腐,1盒,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",main ingredients,白胡椒粉,1大匙,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",main ingredients,香菜末,1大把,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",main ingredients,金針菇,1包,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",sauce,玄米油,2大匙,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",sauce,玄米黑醋,3大匙,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",sauce,和風高湯粉,1包,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",sauce,香菇調味露,1大匙,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",sauce,冬菇,6朵,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",sauce,香菇水,1000毫升,,2025-03-10,2025-10-23 03:29:48.798886
473294,酸辣湯（全素）,Miss J簡易蔬食料理,29,https://icook.tw/recipes/473294,"5,249瀏覽","2
人份","時間

45
分鐘",sauce,日高昆布,1片,,2025-03-10,2025-10-23 03:29:48.798886
474395,玉米麵饅頭(純素),灶頭鑊尾,15,https://icook.tw/recipes/474395,"3,449瀏覽","6
人份",,main ingredients,中筋麵粉,200g,,2025-03-11,2025-10-23 03:29:50.143576
474395,玉米麵饅頭(純素),灶頭鑊尾,15,https://icook.tw/recipes/474395,"3,449瀏覽","6
人份",,main ingredients,細玉米麵,100g,,2025-03-11,2025-10-23 03:29:50.143576
474395,玉米麵饅頭(純素),灶頭鑊尾,15,https://icook.tw/recipes/474395,"3,449瀏覽","6
人份",,main ingredients,速發酵母,3.5g,,2025-03-11,2025-10-23 03:29:50.143576
474395,玉米麵饅頭(純素),灶頭鑊尾,15,https://icook.tw/recipes/474395,"3,449瀏覽","6
人份",,main ingredients,細砂糖,40g,,2025-03-11,2025-10-23 03:29:50.143576
474395,玉米麵饅頭(純素),灶頭鑊尾,15,https://icook.tw/recipes/474395,"3,449瀏覽","6
人份",,main ingredients,植物油,40g,,2025-03-11,2025-10-23 03:29:50.143576
474395,玉米麵饅頭(純素),灶頭鑊尾,15,https://icook.tw/recipes/474395,"3,449瀏覽","6
人份",,main ingredients,溫水,150g,,2025-03-11,2025-10-23 03:29:50.143576
474803,自製傳統五香粉(純素),灶頭鑊尾,6,https://icook.tw/recipes/474803,"1,720瀏覽",,"時間

10
分鐘",sauce,八角粉,20g,,2025-03-22,2025-10-23 03:29:50.714696
