ingredients,t_ingredient_name,normalized_name
牛番茄塊,牛番茄塊,番茄
燒雞,燒雞,雞肉
蒜醋汁,蒜醋汁,大蒜
薄吐司,薄吐司,麵粉
玉米圈圈,玉米圈圈,玉米
奶油起司抹醬,奶油起司抹醬,起司
五木肉燥味拉麵,五木肉燥味拉麵,豬肉
五木肉燥味拉麵調味包,五木肉燥味拉麵調味包,豬肉
五木肉燥味拉麵油包,五木肉燥味拉麵油包,食用油
油炸花生仁,油炸花生仁,食用油
天婦羅粉,天婦羅粉,麵粉
牛小排薄片,牛小排薄片,牛肉
salami沙拉米火腿,salami沙拉米火腿,豬肉
油漬紅黃椒,油漬紅黃椒,食用油
蒜香炒飯,蒜香炒飯,食用油
秋刀魚片,秋刀魚片,魚肉
煮熟五穀米飯,煮熟五穀米飯,五穀米
日式鹽昆布絲,日式鹽昆布絲,昆布
高麗菜葉(燙軟),高麗菜葉,高麗菜
蘋果皮,蘋果皮,蘋果
哈密瓜塊,哈密瓜塊,哈密瓜
熟葵瓜子,熟葵瓜子,葵瓜子
豆瓣醋汁,豆瓣醋汁,豆瓣
市售三島香鬆,市售三島香鬆,魚肉
紫茄,紫茄,茄子
米線(煮熟),米線,米
椒香醬汁,椒香醬汁,辣椒
燻鴨肉,燻鴨肉,鴨肉
緬式涼麵醬,緬式涼麵醬,食用油
越式魚露沾醬,越式魚露沾醬,魚肉
