recept_id,recipe_source,recipe_name,recipe_url,author,people,recipe_upload_date,crawl_datetime,ins_timestamp,upd_timestamp
482992,icook,【紅豆麻糬麵包】日本KNEADER發酵箱,https://icook.tw/recipes/482992,KAWAYAMA川山企業(股),1,2025-10-17,2025-10-23 21:29:30.188790,2025-11-27 14:49:17,2025-11-27 14:49:17
482814,icook,美國稻米｜珍珠丸子,https://icook.tw/recipes/482814,瑞塔的廚房日記,1,2025-10-17,2025-10-23 21:29:31.197615,2025-11-27 14:49:17,2025-11-27 14:49:17
482965,icook,摺疊飯糰  (簡單早餐懶人包),https://icook.tw/recipes/482965,Amy's Kitchen,2,2025-10-17,2025-10-23 21:29:32.029747,2025-11-27 14:49:17,2025-11-27 14:49:17
482949,icook,涼拌小黃瓜佐海帶芽,https://icook.tw/recipes/482949,燕子的料理時光,4,2025-10-18,2025-10-23 21:29:32.781787,2025-11-27 14:49:17,2025-11-27 14:49:17
483112,icook,簡易豆腐盒吻仔魚紫菜飯糰,https://icook.tw/recipes/483112,BKT愛料理,1,2025-10-21,2025-10-23 21:29:33.215511,2025-11-27 14:49:17,2025-11-27 14:49:17
483075,icook,金燦燦香腸蛋炒飯 | 美國稻米-茉莉香米,https://icook.tw/recipes/483075,愛料理の仟仟,2,2025-10-21,2025-10-23 21:29:33.688013,2025-11-27 14:49:17,2025-11-27 14:49:17
483120,icook,醬燒竹莢魚|🧉回味再三的居家料理,https://icook.tw/recipes/483120,鮮浪 ♛饕の廚,4,2025-10-21,2025-10-23 21:29:34.091805,2025-11-27 14:49:17,2025-11-27 14:49:17
483130,icook,麻奶起司炸飯糰,https://icook.tw/recipes/483130,Bruce Bruce,3,2025-10-21,2025-10-23 21:29:34.593384,2025-11-27 14:49:17,2025-11-27 14:49:17
483113,icook,免模具飯糰 (簡單飯糰懶人包),https://icook.tw/recipes/483113,Amy's Kitchen,1,2025-10-21,2025-10-23 21:29:35.029826,2025-11-27 14:49:17,2025-11-27 14:49:17
483080,icook,小朋友也可以吃的清燉滷牛肋條（電鍋版）,https://icook.tw/recipes/483080,燕子的料理時光,2,2025-10-22,2025-10-23 21:29:35.421012,2025-11-27 14:49:17,2025-11-27 14:49:17
483124,icook,英式鬆餅,https://icook.tw/recipes/483124,HomelyBites家味小廚,1,2025-10-22,2025-10-23 21:29:35.721969,2025-11-27 14:49:17,2025-11-27 14:49:17
483185,icook,鮭魚南瓜炊飯,https://icook.tw/recipes/483185,Jane’s kitchen,4,2025-10-22,2025-10-23 21:29:36.310646,2025-11-27 14:49:17,2025-11-27 14:49:17
483191,icook,平底鍋「小魚照燒米餅」涮嘴的鹹香滋味！！,https://icook.tw/recipes/483191,Popo小日子,2,2025-10-23,2025-10-23 21:29:36.602014,2025-11-27 14:49:17,2025-11-27 14:49:17
